"url","path","page_type","sitemap_occurrences","lastmod","changefreq","priority"
"https://www.lxelec.cn/About_Us/4.html","/About_Us/4.html","about_detail","1","2024-09-25","daily","0.5"
"https://www.lxelec.cn/Case_detail/1851165621131317248.html","/Case_detail/1851165621131317248.html","case_detail","1","2024-10-29","daily","0.5"
"https://www.lxelec.cn/Case_detail/Case_ceshi.html","/Case_detail/Case_ceshi.html","case_detail","1","2024-10-09","daily","0.5"
"https://www.lxelec.cn/Case_detail/Chongqing_Jinshan_substation_expansion_project.html","/Case_detail/Chongqing_Jinshan_substation_expansion_project.html","case_detail","1","2024-10-09","daily","0.5"
"https://www.lxelec.cn/Case_detail/Chongqing_Power_Plant_Environmental_Relocation_Project.html","/Case_detail/Chongqing_Power_Plant_Environmental_Relocation_Project.html","case_detail","1","2024-10-10","daily","0.5"
"https://www.lxelec.cn/Case_detail/High-speed_line_operations_and_maintenance.html","/Case_detail/High-speed_line_operations_and_maintenance.html","case_detail","1","2024-10-10","daily","0.5"
"https://www.lxelec.cn/Case_detail/Huaiyang_Industrial_Park_charging_station_project.html","/Case_detail/Huaiyang_Industrial_Park_charging_station_project.html","case_detail","1","2024-10-09","daily","0.5"
"https://www.lxelec.cn/Case_detail/Huaiyang_Innovation_center_charging_station_project.html","/Case_detail/Huaiyang_Innovation_center_charging_station_project.html","case_detail","1","2024-10-09","daily","0.5"
"https://www.lxelec.cn/Case_detail/Zhengzhou_Institute_of_Mechanical_and_Electrical_industrial_park_charging_station_project.html","/Case_detail/Zhengzhou_Institute_of_Mechanical_and_Electrical_industrial_park_charging_station_project.html","case_detail","1","2024-10-09","daily","0.5"
"https://www.lxelec.cn/Case_list.html","/Case_list.html","case_list","1","2025-07-04","daily","0.6"
"https://www.lxelec.cn/Case_list/Applications.html","/Case_list/Applications.html","case_list","1","2024-08-19","daily","0.6"
"https://www.lxelec.cn/Case_list/Integrated_Solutions.html","/Case_list/Integrated_Solutions.html","case_list","1","2024-10-10","daily","0.6"
"https://www.lxelec.cn/Case_list/Residential_Area.html","/Case_list/Residential_Area.html","case_list","1","2024-10-10","daily","0.6"
"https://www.lxelec.cn/Case_list/State_Grid.html","/Case_list/State_Grid.html","case_list","1","2024-10-10","daily","0.6"
"https://www.lxelec.cn/Cooperation/1.html","/Cooperation/1.html","cooperation","1","2024-09-26","daily","0.5"
"https://www.lxelec.cn/Cooperation/2.html","/Cooperation/2.html","cooperation","1","2024-09-26","daily","0.5"
"https://www.lxelec.cn/Cooperation/3.html","/Cooperation/3.html","cooperation","1","2024-09-26","daily","0.5"
"https://www.lxelec.cn/Cooperation/4.html","/Cooperation/4.html","cooperation","1","2024-09-26","daily","0.5"
"https://www.lxelec.cn/","/","home","1","2025-07-04","daily","1"
"https://www.lxelec.cn/Innovation/Certificates.html","/Innovation/Certificates.html","innovation_detail","1","2026-05-07","daily","0.6"
"https://www.lxelec.cn/Innovation/Patents.html","/Innovation/Patents.html","innovation_detail","1","2026-05-07","daily","0.6"
"https://www.lxelec.cn/Innovation/Projects.html","/Innovation/Projects.html","innovation_detail","1","2026-05-07","daily","0.6"
"https://www.lxelec.cn/Innovation.html","/Innovation.html","innovation_hub","2","2025-07-04","daily","0.6"
"https://www.lxelec.cn/jrwm/1838758862799917056.html","/jrwm/1838758862799917056.html","join_us","1","2024-09-25","daily","0.5"
"https://www.lxelec.cn/jrwm/3.html","/jrwm/3.html","join_us","1","2024-09-27","daily","0.5"
"https://www.lxelec.cn/news_details/1.html","/news_details/1.html","news_detail","1","2024-10-09","daily","0.5"
"https://www.lxelec.cn/news_details/1839494029327880192.html","/news_details/1839494029327880192.html","news_detail","1","2024-09-27","daily","0.5"
"https://www.lxelec.cn/news_details/1839494645107073024.html","/news_details/1839494645107073024.html","news_detail","1","2024-09-27","daily","0.5"
"https://www.lxelec.cn/news_details/1839499204307132416.html","/news_details/1839499204307132416.html","news_detail","1","2024-09-27","daily","0.5"
"https://www.lxelec.cn/news_details/1856865948856340480.html","/news_details/1856865948856340480.html","news_detail","1","2024-11-14","daily","0.5"
"https://www.lxelec.cn/news_details/2.html","/news_details/2.html","news_detail","1","2024-10-09","daily","0.5"
"https://www.lxelec.cn/news_details/2019222642925367296.html","/news_details/2019222642925367296.html","news_detail","1","2026-02-05","daily","0.5"
"https://www.lxelec.cn/news_details/2019226890410557440.html","/news_details/2019226890410557440.html","news_detail","1","2026-02-06","daily","0.5"
"https://www.lxelec.cn/news_details/2019227558930673664.html","/news_details/2019227558930673664.html","news_detail","1","2026-02-05","daily","0.5"
"https://www.lxelec.cn/news_details/2019228150996041728.html","/news_details/2019228150996041728.html","news_detail","1","2026-02-05","daily","0.5"
"https://www.lxelec.cn/news_details/2019234008920391680.html","/news_details/2019234008920391680.html","news_detail","1","2026-02-05","daily","0.5"
"https://www.lxelec.cn/news_details/2019235284869611520.html","/news_details/2019235284869611520.html","news_detail","1","2026-02-05","daily","0.5"
"https://www.lxelec.cn/news_details/2019237812592082944.html","/news_details/2019237812592082944.html","news_detail","1","2026-02-06","daily","0.5"
"https://www.lxelec.cn/news_details/2019238982390247424.html","/news_details/2019238982390247424.html","news_detail","1","2026-02-06","daily","0.5"
"https://www.lxelec.cn/news_details/2019255482918010880.html","/news_details/2019255482918010880.html","news_detail","1","2026-02-05","daily","0.5"
"https://www.lxelec.cn/news_details/2019586895420751872.html","/news_details/2019586895420751872.html","news_detail","1","2026-02-06","daily","0.5"
"https://www.lxelec.cn/news_details/2019599162749124608.html","/news_details/2019599162749124608.html","news_detail","1","2026-02-06","daily","0.5"
"https://www.lxelec.cn/news_details/2019606141956124672.html","/news_details/2019606141956124672.html","news_detail","1","2026-02-06","daily","0.5"
"https://www.lxelec.cn/news_details/2019607115416334336.html","/news_details/2019607115416334336.html","news_detail","1","2026-02-06","daily","0.5"
"https://www.lxelec.cn/news_details/2052598720739672064.html","/news_details/2052598720739672064.html","news_detail","1","2026-05-08","daily","0.5"
"https://www.lxelec.cn/news_details/Henan_Longxiang_Electric_Co.,_Ltd..html","/news_details/Henan_Longxiang_Electric_Co.,_Ltd..html","news_detail","1","2024-10-09","daily","0.5"
"https://www.lxelec.cn/news_details/Longxiang_Electric_shuXinzheng_City_Mayor_Yang_Jin_and_his_entourage_visited_Longxiang_to_investigate_and_guide_the_work..html","/news_details/Longxiang_Electric_shuXinzheng_City_Mayor_Yang_Jin_and_his_entourage_visited_Longxiang_to_investigate_and_guide_the_work..html","news_detail","1","2024-09-27","daily","0.5"
"https://www.lxelec.cn/news_details/Longxiang_ElectricshuGroup_of_companies_actively_explore_new_opportunities_in_the_field_of_charging_pile.html","/news_details/Longxiang_ElectricshuGroup_of_companies_actively_explore_new_opportunities_in_the_field_of_charging_pile.html","news_detail","1","2024-09-27","daily","0.5"
"https://www.lxelec.cn/news_details/longxiangdianqishuhenanshenggushixianfuxianzhangjiantouzijituanshujizongjinglimananyixinglilinlongxiangdiaoyanzhidaogongzuo.html","/news_details/longxiangdianqishuhenanshenggushixianfuxianzhangjiantouzijituanshujizongjinglimananyixinglilinlongxiangdiaoyanzhidaogongzuo.html","news_detail","1","2024-09-27","daily","0.5"
"https://www.lxelec.cn/news_details/Two_departments_deployed_to_comprehensively_enhance_the_charging_service_capacity_along_the_highway.html","/news_details/Two_departments_deployed_to_comprehensively_enhance_the_charging_service_capacity_along_the_highway.html","news_detail","1","2024-09-27","daily","0.5"
"https://www.lxelec.cn/news_list.html","/news_list.html","news_list","1","2025-07-04","daily","0.6"
"https://www.lxelec.cn/news_list/2052598425579757568.html","/news_list/2052598425579757568.html","news_list","1","2026-05-08","daily","0.6"
"https://www.lxelec.cn/news_list/Announcement.html","/news_list/Announcement.html","news_list","1","2026-05-08","daily","0.6"
"https://www.lxelec.cn/news_list/Blog.html","/news_list/Blog.html","news_list","1","2024-09-25","daily","0.6"
"https://www.lxelec.cn/news_list/Company_News.html","/news_list/Company_News.html","news_list","1","2026-05-08","daily","0.6"
"https://www.lxelec.cn/news_list/Industry_News.html","/news_list/Industry_News.html","news_list","1","2026-05-08","daily","0.6"
"https://www.lxelec.cn/news_list/Party_Building_News.html","/news_list/Party_Building_News.html","news_list","1","2026-05-08","daily","0.6"
